;clarity;color;colorINT;ClarityINT;carat;depth;table;price;x;y;z;cutINT;cut;Colors;ColorsNum;Clarities;ClaritiesNum
1;SI2;E;2;8;0.23;61.5;55;326;3.95;3.98;2.43;4;Ideal;D;1;FL;1
2;SI1;E;2;7;0.21;59.8;61;326;3.89;3.84;2.31;3;Premium;E;2;IF;2
3;VS1;E;2;5;0.23;56.9;65;327;04.5;04.7;2.31;1;Good;F;3;VVS1;3
4;VS2;I;6;6;0.29;62.4;58;334;04.2;4.23;2.63;3;Premium;G;4;VVS2;4
5;SI2;J;7;8;0.31;63.3;58;335;4.34;4.35;2.75;1;Good;H;5;VS1;5
6;VVS2;J;7;4;0.24;62.8;57;336;3.94;3.96;2.48;2;Very Good;I;6;VS2;6
7;VVS1;I;6;3;0.24;62.3;57;336;3.95;3.98;2.47;2;Very Good;J;7;Sl1;7
8;SI1;H;5;7;0.26;61.9;55;337;04.7;04.11;2.53;2;Very Good;;;SI2;8
9;VS2;E;2;6;0.22;65.1;61;337;3.87;3.78;2.49;0;Fair;;;I1;9
10;VS1;H;5;5;0.23;59.4;61;338;4;04.5;2.39;2;Very Good;;;I2;10
11;SI1;J;7;7;0.3;64;55;339;4.25;4.28;2.73;1;Good;;;I3;11
12;VS1;J;7;5;0.23;62.8;56;340;3.93;03.9;2.46;4;Ideal;;;;
13;SI1;F;3;7;0.22;60.4;61;342;3.88;3.84;2.33;3;Premium;;;;
14;SI2;J;7;8;0.31;62.2;54;344;4.35;4.37;2.71;4;Ideal;;;;
15;SI2;E;2;8;0.2;60.2;62;345;3.79;3.75;2.27;3;Premium;;;;
16;I1;E;2;9;0.32;60.9;58;345;4.38;4.42;2.68;3;Premium;;;;
17;SI2;I;6;8;0.3;62;54;348;4.31;4.34;2.68;4;Ideal;;;;
18;SI1;J;7;7;0.3;63.4;54;351;4.23;4.29;02.7;1;Good;;;;
19;SI1;J;7;7;0.3;63.8;56;351;4.23;4.26;2.71;1;Good;;;;
20;SI1;J;7;7;0.3;62.7;59;351;4.21;4.27;2.66;2;Very Good;;;;
21;SI2;I;6;8;0.3;63.3;56;351;4.26;04.3;2.71;1;Good;;;;
22;VS2;E;2;6;0.23;63.8;55;352;3.85;3.92;2.48;2;Very Good;;;;
23;VS1;H;5;5;0.23;61;57;353;3.94;3.96;2.41;2;Very Good;;;;
24;SI1;J;7;7;0.31;59.4;62;353;4.39;4.43;2.62;2;Very Good;;;;
25;SI1;J;7;7;0.31;58.1;62;353;4.44;4.47;2.59;2;Very Good;;;;
26;VVS2;G;4;4;0.23;60.4;58;354;3.97;04.1;2.41;2;Very Good;;;;
27;VS1;I;6;5;0.24;62.5;57;355;3.97;3.94;2.47;3;Premium;;;;
28;VS2;J;7;6;0.3;62.2;57;357;4.28;04.3;2.67;2;Very Good;;;;
29;VS2;D;1;6;0.23;60.5;61;357;3.96;3.97;02.4;2;Very Good;;;;
30;VS1;F;3;5;0.23;60.9;57;357;3.96;3.99;2.42;2;Very Good;;;;
31;VS1;F;3;5;0.23;60;57;402;4;04.3;2.41;2;Very Good;;;;
32;VS1;F;3;5;0.23;59.8;57;402;04.4;04.6;2.42;2;Very Good;;;;
33;VS1;E;2;5;0.23;60.7;59;402;3.97;04.1;2.42;2;Very Good;;;;
34;VS1;E;2;5;0.23;59.5;58;402;04.1;04.6;02.4;2;Very Good;;;;
35;VS1;D;1;5;0.23;61.9;58;402;3.92;3.96;2.44;2;Very Good;;;;
36;VS1;F;3;5;0.23;58.2;59;402;04.6;04.8;2.37;1;Good;;;;
37;VS1;E;2;5;0.23;64.1;59;402;3.83;3.85;2.46;1;Good;;;;
38;SI1;H;5;7;0.31;64;54;402;4.29;4.31;2.75;1;Good;;;;
39;VS2;D;1;6;0.26;60.8;59;403;4.13;4.16;2.52;2;Very Good;;;;
40;SI2;I;6;8;0.33;61.8;55;403;4.49;4.51;2.78;4;Ideal;;;;
41;SI2;I;6;8;0.33;61.2;56;403;4.49;04.5;2.75;4;Ideal;;;;
42;SI1;J;7;7;0.33;61.1;56;403;4.49;4.55;2.76;4;Ideal;;;;
43;VS2;D;1;6;0.26;65.2;56;403;3.99;04.2;2.61;1;Good;;;;
44;VS1;D;1;5;0.26;58.4;63;403;4.19;4.24;2.46;1;Good;;;;
45;SI2;H;5;8;0.32;63.1;56;403;4.34;4.37;2.75;1;Good;;;;
46;SI1;F;3;7;0.29;62.4;58;403;4.24;4.26;2.65;3;Premium;;;;
47;SI2;H;5;8;0.32;61.8;55;403;4.35;4.42;2.71;2;Very Good;;;;
48;SI2;H;5;8;0.32;63.8;56;403;4.36;4.38;2.79;1;Good;;;;
49;VS2;E;2;6;0.25;63.3;60;404;4;04.3;2.54;2;Very Good;;;;
50;SI2;H;5;8;0.29;60.7;60;404;4.33;4.37;2.64;2;Very Good;;;;
